70 unique phonemes
70 unique phonemes
70 unique phonemes
70 unique phonemes
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
{'loss': 7.1431, 'grad_norm': 261.00201416015625, 'learning_rate': 1.516530178950561e-07, 'epoch': 0.0}
{'loss': 6.8505, 'grad_norm': 39.06340408325195, 'learning_rate': 3.033060357901122e-07, 'epoch': 0.01}
{'loss': 6.741, 'grad_norm': 38.44135665893555, 'learning_rate': 4.5495905368516834e-07, 'epoch': 0.01}
{'loss': 6.6612, 'grad_norm': 243.19802856445312, 'learning_rate': 6.066120715802244e-07, 'epoch': 0.02}
{'loss': 6.5859, 'grad_norm': 27.033933639526367, 'learning_rate': 7.582650894752806e-07, 'epoch': 0.02}
{'loss': 6.4193, 'grad_norm': 26.340700149536133, 'learning_rate': 9.099181073703367e-07, 'epoch': 0.03}
{'loss': 6.2784, 'grad_norm': 210.66419982910156, 'learning_rate': 1.0615711252653927e-06, 'epoch': 0.03}
{'loss': 6.2199, 'grad_norm': 43.95426940917969, 'learning_rate': 1.213224143160449e-06, 'epoch': 0.04}
{'loss': 6.1231, 'grad_norm': 123.16900634765625, 'learning_rate': 1.3648771610555051e-06, 'epoch': 0.04}
{'loss': 6.0282, 'grad_norm': 28.165531158447266, 'learning_rate': 1.5165301789505611e-06, 'epoch': 0.05}
{'loss': 5.989, 'grad_norm': 55.732200622558594, 'learning_rate': 1.6681831968456171e-06, 'epoch': 0.05}
{'loss': 5.9295, 'grad_norm': 14.319374084472656, 'learning_rate': 1.8198362147406733e-06, 'epoch': 0.05}
{'loss': 5.8892, 'grad_norm': 14.13563060760498, 'learning_rate': 1.9714892326357296e-06, 'epoch': 0.06}
{'loss': 5.8505, 'grad_norm': 30.52911376953125, 'learning_rate': 2.1231422505307854e-06, 'epoch': 0.06}
{'loss': 5.8543, 'grad_norm': 20.521514892578125, 'learning_rate': 2.2747952684258416e-06, 'epoch': 0.07}
{'loss': 5.8093, 'grad_norm': 26.455671310424805, 'learning_rate': 2.426448286320898e-06, 'epoch': 0.07}
{'loss': 5.7754, 'grad_norm': 26.35453987121582, 'learning_rate': 2.578101304215954e-06, 'epoch': 0.08}
{'loss': 5.7398, 'grad_norm': 16.77291488647461, 'learning_rate': 2.7297543221110102e-06, 'epoch': 0.08}
{'loss': 5.7399, 'grad_norm': 26.880929946899414, 'learning_rate': 2.881407340006066e-06, 'epoch': 0.09}
{'loss': 5.7298, 'grad_norm': 13.764037132263184, 'learning_rate': 3.0330603579011222e-06, 'epoch': 0.09}
{'loss': 5.7001, 'grad_norm': 16.001129150390625, 'learning_rate': 3.1847133757961785e-06, 'epoch': 0.1}
{'loss': 5.7143, 'grad_norm': 20.123109817504883, 'learning_rate': 3.3363663936912343e-06, 'epoch': 0.1}
{'loss': 5.6863, 'grad_norm': 12.889371871948242, 'learning_rate': 3.488019411586291e-06, 'epoch': 0.1}
{'loss': 5.6817, 'grad_norm': 12.525659561157227, 'learning_rate': 3.6396724294813467e-06, 'epoch': 0.11}
{'loss': 5.6551, 'grad_norm': 24.18788719177246, 'learning_rate': 3.791325447376403e-06, 'epoch': 0.11}
{'loss': 5.64, 'grad_norm': 14.267723083496094, 'learning_rate': 3.942978465271459e-06, 'epoch': 0.12}
{'loss': 5.6199, 'grad_norm': 50.192527770996094, 'learning_rate': 4.094631483166515e-06, 'epoch': 0.12}
{'loss': 5.6053, 'grad_norm': 54.330623626708984, 'learning_rate': 4.246284501061571e-06, 'epoch': 0.13}
{'loss': 5.6376, 'grad_norm': 10.10095500946045, 'learning_rate': 4.397937518956628e-06, 'epoch': 0.13}
{'loss': 5.6071, 'grad_norm': 26.280500411987305, 'learning_rate': 4.549590536851683e-06, 'epoch': 0.14}
{'loss': 5.603, 'grad_norm': 8.70029067993164, 'learning_rate': 4.70124355474674e-06, 'epoch': 0.14}
{'loss': 5.5996, 'grad_norm': 10.337928771972656, 'learning_rate': 4.852896572641796e-06, 'epoch': 0.15}
{'loss': 5.5983, 'grad_norm': 12.356056213378906, 'learning_rate': 5.004549590536852e-06, 'epoch': 0.15}
{'loss': 5.602, 'grad_norm': 35.77201461791992, 'learning_rate': 5.156202608431908e-06, 'epoch': 0.15}
{'loss': 5.5463, 'grad_norm': 66.79344177246094, 'learning_rate': 5.307855626326964e-06, 'epoch': 0.16}
{'loss': 5.5627, 'grad_norm': 14.667742729187012, 'learning_rate': 5.4595086442220205e-06, 'epoch': 0.16}
{'loss': 5.5928, 'grad_norm': 20.73943328857422, 'learning_rate': 5.611161662117077e-06, 'epoch': 0.17}
{'loss': 5.6002, 'grad_norm': 24.50595474243164, 'learning_rate': 5.762814680012132e-06, 'epoch': 0.17}
{'loss': 5.5435, 'grad_norm': 13.259798049926758, 'learning_rate': 5.914467697907189e-06, 'epoch': 0.18}
{'loss': 5.5479, 'grad_norm': 9.791572570800781, 'learning_rate': 6.0661207158022445e-06, 'epoch': 0.18}
{'loss': 5.5618, 'grad_norm': 9.559165954589844, 'learning_rate': 6.2177737336973016e-06, 'epoch': 0.19}
{'loss': 5.5339, 'grad_norm': 8.440666198730469, 'learning_rate': 6.369426751592357e-06, 'epoch': 0.19}
{'loss': 5.5239, 'grad_norm': 32.94091033935547, 'learning_rate': 6.521079769487413e-06, 'epoch': 0.2}
{'loss': 5.5337, 'grad_norm': 45.25877380371094, 'learning_rate': 6.6727327873824685e-06, 'epoch': 0.2}
{'loss': 5.5426, 'grad_norm': 4.379096508026123, 'learning_rate': 6.824385805277525e-06, 'epoch': 0.2}
{'loss': 5.5345, 'grad_norm': 13.645816802978516, 'learning_rate': 6.976038823172582e-06, 'epoch': 0.21}
{'loss': 5.5046, 'grad_norm': 27.53614616394043, 'learning_rate': 7.127691841067638e-06, 'epoch': 0.21}
{'loss': 5.5051, 'grad_norm': 14.291765213012695, 'learning_rate': 7.279344858962693e-06, 'epoch': 0.22}
{'loss': 5.4898, 'grad_norm': 225.561767578125, 'learning_rate': 7.43099787685775e-06, 'epoch': 0.22}
{'loss': 5.4918, 'grad_norm': 8.548210144042969, 'learning_rate': 7.582650894752806e-06, 'epoch': 0.23}
{'loss': 5.4895, 'grad_norm': 17.870746612548828, 'learning_rate': 7.734303912647863e-06, 'epoch': 0.23}
{'loss': 5.4805, 'grad_norm': 4.3767876625061035, 'learning_rate': 7.885956930542918e-06, 'epoch': 0.24}
{'loss': 5.4632, 'grad_norm': 20.388277053833008, 'learning_rate': 8.037609948437974e-06, 'epoch': 0.24}
{'loss': 5.463, 'grad_norm': 23.987796783447266, 'learning_rate': 8.18926296633303e-06, 'epoch': 0.25}
{'loss': 5.4802, 'grad_norm': 11.968441009521484, 'learning_rate': 8.340915984228088e-06, 'epoch': 0.25}
{'loss': 5.4576, 'grad_norm': 20.945463180541992, 'learning_rate': 8.492569002123141e-06, 'epoch': 0.25}
{'loss': 5.4571, 'grad_norm': 7.601146221160889, 'learning_rate': 8.644222020018199e-06, 'epoch': 0.26}
{'loss': 5.4668, 'grad_norm': 8.459433555603027, 'learning_rate': 8.795875037913256e-06, 'epoch': 0.26}
{'loss': 5.4413, 'grad_norm': 10.585719108581543, 'learning_rate': 8.947528055808311e-06, 'epoch': 0.27}
{'loss': 5.442, 'grad_norm': 5.829005718231201, 'learning_rate': 9.099181073703366e-06, 'epoch': 0.27}
{'loss': 5.4178, 'grad_norm': 7.392884254455566, 'learning_rate': 9.250834091598423e-06, 'epoch': 0.28}
{'loss': 5.4091, 'grad_norm': 3.6001408100128174, 'learning_rate': 9.40248710949348e-06, 'epoch': 0.28}
{'loss': 5.4305, 'grad_norm': 10.474261283874512, 'learning_rate': 9.554140127388536e-06, 'epoch': 0.29}
{'loss': 5.399, 'grad_norm': 6.603897571563721, 'learning_rate': 9.705793145283591e-06, 'epoch': 0.29}
{'loss': 5.395, 'grad_norm': 15.844866752624512, 'learning_rate': 9.857446163178648e-06, 'epoch': 0.3}
{'loss': 5.4198, 'grad_norm': 6.220636367797852, 'learning_rate': 1.0009099181073704e-05, 'epoch': 0.3}
{'loss': 5.3728, 'grad_norm': 5.884815692901611, 'learning_rate': 1.0160752198968759e-05, 'epoch': 0.3}
{'loss': 5.3619, 'grad_norm': 3.560908794403076, 'learning_rate': 1.0312405216863816e-05, 'epoch': 0.31}
{'loss': 5.373, 'grad_norm': 6.606753349304199, 'learning_rate': 1.0464058234758871e-05, 'epoch': 0.31}
{'loss': 5.3638, 'grad_norm': 2.718228340148926, 'learning_rate': 1.0615711252653929e-05, 'epoch': 0.32}
